ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5556.8248       370.4760         0.0000         0.0000       945.7173          -4240.6315       300.4461     -5186.3488     -4237.5819       303.0583           -207.2934      -162.7778     22691.0293      -180.0095      -179.9364
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5635.9867       398.8961         0.0000         0.0000       898.0188          -4339.0717       285.2927     -5237.0905     -4337.4669       302.6866           -105.7345       -72.9832     22613.0076      -178.8074      -178.9113
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5596.5177       411.7425         0.0000         0.0000       938.7126          -4246.0626       298.2207     -5184.7751     -4243.5002       297.2018           -231.7579      -220.7248     22805.3212      -203.0182      -202.9121
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5660.4675       411.3497         0.0000         0.0000       917.4983          -4331.6194       291.4812     -5249.1177     -4329.2480       300.2208           -363.8945      -324.8120     22647.5087      -202.6276      -202.5205
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5660.2727       414.4227         0.0000         0.0000       926.7683          -4319.0817       294.4261     -5245.8500     -4316.9732       296.1178            200.9018       212.4611     22569.8167      -201.5315      -201.4584
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5712.6497       438.1440         0.0000         0.0000       929.6149          -4344.8908       295.3305     -5274.5057     -4343.1944       290.5211            182.7781       204.5415     22431.9811      -215.7469      -215.7741
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5595.0907       364.6984         0.0000         0.0000       914.7085          -4315.6838       290.5948     -5230.3923     -4313.3308       292.8238           -493.4992      -496.2648     22716.3136      -204.2835      -204.3725
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5628.4145       407.5201         0.0000         0.0000       977.1146          -4243.7798       310.4207     -5220.8943     -4241.0144       301.0655           -234.0932      -229.2236     22865.6936      -176.0492      -176.1026
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5667.8225       448.3683         0.0000         0.0000       993.3928          -4226.0615       315.5922     -5219.4543     -4224.2617       300.8881            447.4331       455.8154     22797.9128      -264.3886      -264.3504
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5587.2287       394.0468         0.0000         0.0000       923.8608          -4269.3212       293.5025     -5193.1819     -4267.7434       300.1313           -142.2367      -115.3951     22726.4711      -225.6555      -225.7455
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5598.1820       426.5950         0.0000         0.0000       918.6816          -4252.9054       291.8571     -5171.5871     -4250.9066       300.1803            371.4484       376.0287     22614.0980      -220.2156      -220.1109
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5556.6017       375.2717         0.0000         0.0000       913.8810          -4267.4489       290.3320     -5181.3299     -4266.2909       296.2383           -764.8289      -745.7982     23092.0919      -232.7942      -232.5103
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5613.3788       388.8412         0.0000         0.0000       910.6677          -4313.8699       289.3111     -5224.5376     -4310.2899       298.8723           -200.8706      -184.3366     22607.3626      -206.3901      -206.3784
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5701.5405       492.9259         0.0000         0.0000       926.2942          -4282.3203       294.2755     -5208.6146     -4281.5449       295.8388            865.8192       884.0366     22656.7854      -196.3398      -196.3206
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5626.4513       396.3162         0.0000         0.0000       903.9143          -4326.2208       287.1657     -5230.1351     -4323.5398       292.3828           -463.5803      -461.3530     22731.1336      -257.7037      -257.7548
